    TIME       CBIT        CBIT2
 [HRS UTC]                      

  17.72528     400000     1c0000
  17.72556     400000     1c0000
  17.72583     400000     1c0000
  17.72611     400000     1c0000
  17.72639     400000     1c0000
  17.72667     400000     1c0000
  17.72695     400000     1c0000
  17.72722     400000     1c0000
  17.72750     400000     1c0000
  17.72778     400000     1c0000
  17.72806     400000     1c0000
  17.72833     400000     1c0000
  17.72861     400000     1c0000
  17.72889     400000     1c0000
  17.72917     400000     1c0000
  17.72944     400000     1c0000
  17.72972     400000     1c0000
  17.73000     400000     1c0000
  17.73028     400000     1c0000
  17.73056     400000     1c0000
  17.73083     400000     1c0000
  17.73111     400000     1c0000
  17.73139     400000     1c0000
  17.73167     400000     1c0000
  17.73195     400000     1c0000
  17.73222     400000     1c0000
  17.73250     400000     1c0000
  17.73278     400000     1c0000
  17.73306     400000     1c0000
  17.73333     400000     1c0000
  17.73361     400000     1c0000
  17.73389     400000     1c0000
  17.73417     400000     1c0000
  17.73445     400000     1c0000
  17.73472     400000     1c0000
  17.73500     400000     1c0000
  17.73528     400000     1c0000
  17.73556     400000     1c0000
  17.73583     400000     1c0000
  17.73611     400000     1c0000
  17.73639     400000     1c0000
  17.73667     400000     1c0000
  17.73694     400000     1c0000
  17.73722     400000     1c0000
  17.73750     400000     1c0000
  17.73778     400000     1c0000
  17.73806     400000     1c0000
  17.73833     400000     1c0000
  17.73861     400000     1c0000
  17.73889     400000     1c0000
  17.73917     400000     1c0000
  17.73944     400000     1c0000
  17.73972     400000     1c0000
  17.74000     400000     1c0000
  17.74028     400000     1c0000
  17.74056     400000     1c0000
  17.74083     400000     1c0000
  17.74111     400000     1c0000
  17.74139     400000     1c0000
  17.74167     400000     1c0000
  17.74195     400000     1c0000
  17.74222     400000     1c0000
  17.74250     400000     1c0000
  17.74278     400000     1c0000
  17.74306     400000     1c0000
  17.74333     400000     1c0000
  17.74361     400000     1c0000
  17.74389     400000     1c0000
  17.74417     400000     1c0000
  17.74444     400000     1c0000
  17.74472     420000     1c0000
  17.74500     400000     1c0000
  17.74528     400000     1c0000
  17.74556     400000     1c0000
  17.74583     400000     1c0000
  17.74611     400000     1c0000
  17.74639     400000     1c0000
  17.74667     400000     1c0000
  17.74694     400000     1c0000
  17.74722     400000     1c0000
  17.74750     400000     1c0000
  17.74778     400000     1c0000
  17.74806     400000     1c0000
  17.74833     400000     1c0000
  17.74861     400000     1c0000
  17.74889     400000     1c0000
  17.74917     400000     1c0000
  17.74944     400000     1c0000
  17.74972     400000     1c0000
  17.75000     400000     1c0000
  17.75028     400000     1c0000
  17.75056     400000     1c0000
  17.75083     400000     1c0000
